pack,source,archive,archive_sha256,source_sha256,residual_ids,disposition
spec-0001,.qfai/spec/spec-0001/04_Business-Rules.md,.qfai/evidence/migration-spec-to-story/retired/spec-0001/04_Business-Rules.md,2702d8cfadb754824513ae41f9a737c14d744bdda9732399b721c7d40daf3665,8c3177b7364ed69a1475ff011aa913c45b18226be9f8d4b843b3f28b9691add9,BR-0001-0001;BR-0001-0002;BR-0001-0003;BR-0001-0004;BR-0001-0005;BR-0001-0006;BR-0001-0010;BR-0001-0011;BR-0001-0012;BR-0001-0013;BR-0001-0014;BR-0001-0015;BR-0001-0016;BR-0001-0020;BR-0001-0022,retired-only
spec-0001,.qfai/spec/spec-0001/05_Examples.md,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,0239bb922ad873540446dce5958c23554dd4ec5aba3de4ce57c6825614466ba5,EX-0001-0001;EX-0001-0002;EX-0001-0003;EX-0001-0004;EX-0001-0005;EX-0001-0006;EX-0001-0008;EX-0001-0009;EX-0001-0010;EX-0001-0011;EX-0001-0012;EX-0001-0016;EX-0001-0018;EX-0001-0023;EX-0001-0024,retired-only
spec-0003,.qfai/spec/spec-0003/04_Business-Rules.md,.qfai/evidence/migration-spec-to-story/retired/spec-0003/04_Business-Rules.md,7bdac9941db15faf362534dfd425aa2aa8154e0a562be2e722d9eb62a868d37d,98bbf380cd2e083b31ff7899da91659be55449beb303ba92885f6c624ac7f69e,BR-0003-0018,retired-only
spec-0003,.qfai/spec/spec-0003/05_Examples.md,.qfai/evidence/migration-spec-to-story/retired/spec-0003/05_Examples.md,17667ed5be37bb795379343d5078e91a802fd490c555ebc71ff9cc7dce56840d,341e721b2a913881e21c87f1b284987b110bd25d087bb3ada31cb6e085a4a456,EX-0003-0021,retired-only
spec-0004,.qfai/spec/spec-0004/04_Business-Rules.md,.qfai/evidence/migration-spec-to-story/retired/spec-0004/04_Business-Rules.md,757bf94eb01fd15e5c9d25a46b0f78fa429c7de7ac8a0b7628212f807877b079,9ffb42613dcdb70c250aff5caec49c1d99f136f586e75a0782501c6f386664bb,,header-only
spec-0004,.qfai/spec/spec-0004/05_Examples.md,.qfai/evidence/migration-spec-to-story/retired/spec-0004/05_Examples.md,a42660205c57f4e3eba31683ea6176abffbd61281b172deed5097b271f38b4d7,2c3dbe281d47134531e3c1d665e677fb4fce847aae86701a6b3f3ad47f25ed19,,header-only
spec-0008,.qfai/spec/spec-0008/04_Business-Rules.md,.qfai/evidence/migration-spec-to-story/retired/spec-0008/04_Business-Rules.md,90beb6da59870388ea545b6f44c446aa4fde379f252b6bdc6b0566d731907dd0,9ffb42613dcdb70c250aff5caec49c1d99f136f586e75a0782501c6f386664bb,,header-only
spec-0008,.qfai/spec/spec-0008/05_Examples.md,.qfai/evidence/migration-spec-to-story/retired/spec-0008/05_Examples.md,2344a8c2043f3566baac59f15a7d7d65a44c9ecbc43a7b96de2f9314b3189c7c,2c3dbe281d47134531e3c1d665e677fb4fce847aae86701a6b3f3ad47f25ed19,,header-only
spec-0009,.qfai/spec/spec-0009/04_Business-Rules.md,.qfai/evidence/migration-spec-to-story/retired/spec-0009/04_Business-Rules.md,3c45150d2a7f47e16f500edcfb91df675abbace3bcd7f3e64f0e6f21fb748e55,9ffb42613dcdb70c250aff5caec49c1d99f136f586e75a0782501c6f386664bb,,header-only
spec-0009,.qfai/spec/spec-0009/05_Examples.md,.qfai/evidence/migration-spec-to-story/retired/spec-0009/05_Examples.md,5de2a1dd693c91ad0e0a2f352039f60a4eb93c17ab9154f6d8a8d10d529f548c,2c3dbe281d47134531e3c1d665e677fb4fce847aae86701a6b3f3ad47f25ed19,,header-only
spec-0011,.qfai/spec/spec-0011/04_Business-Rules.md,.qfai/evidence/migration-spec-to-story/retired/spec-0011/04_Business-Rules.md,f12eb99cee5c579b6edb9ed663f3b1760b270659f555f7eb681fc8e9f250a14d,ca4e7c1fbe09698f5fcd98f93da74d5be2bbe5a52d9e983c6c02f00b41d16fd9,BR-0011-0002,retired-only
spec-0011,.qfai/spec/spec-0011/05_Examples.md,.qfai/evidence/migration-spec-to-story/retired/spec-0011/05_Examples.md,49755a240753e7632942a0d2338510329bf887c6da005722cc22fce9831e1d1d,2d2be6fb9c9c2769b1ad4b412c1233559373dd4ab1f6979e9816fa67d5bb13db,EX-0011-0002;EX-0011-0003,retired-only
spec-0013,.qfai/spec/spec-0013/04_Business-Rules.md,.qfai/evidence/migration-spec-to-story/retired/spec-0013/04_Business-Rules.md,c9d61b39e048a7220c25236a5ee8deb88719a7cc8bbb3127d0396c776ba747f3,8238784aaf7524baae9a9207c5bd857f419cae8ea74905345f3d2d1b21b9e1a9,BR-0013-0001;BR-0013-0002;BR-0013-0004;BR-0013-0005;BR-0013-0006;BR-0013-0007;BR-0013-0008;BR-0013-0010;BR-0013-0009;BR-0013-0018,retired-only
spec-0013,.qfai/spec/spec-0013/05_Examples.md,.qfai/evidence/migration-spec-to-story/retired/spec-0013/05_Examples.md,c66bf0a9f51222273c0be07cda9760241d39a29c7d728f9d82a84159c2500daf,0246cd7222e6214e142c1f18ae3344abd56c901e34f5a71779b84cce4b2e08d0,EX-0013-0001;EX-0013-0002;EX-0013-0005;EX-0013-0006;EX-0013-0007;EX-0013-0008;EX-0013-0010;EX-0013-0009;EX-0013-0018,retired-only
