old_id,new_id,disposition,reason
spec-0001/US-0001-0010,US-0001-0202,carried,main's new story
spec-0001/AC-0001-0010,assistant-routing.md#ownership-boundary,existing,the skill inventory is the shipped SKILL.md set with no fixed list
spec-0001/AC-0001-0011,AC-0001-0003-02,carried,skill order within each built-in plan; qfai-run above the order
spec-0001/AC-0001-0012,AC-0001-0004-02,carried,Stage 0 reuse
spec-0001/AC-0001-0013,"AC-0001-0202-01, AC-0001-0202-02",carried,split into free-text pass-on and the worker check
spec-0001/AC-0001-0014,AC-0001-0202-04,carried,
spec-0001/AC-0001-0015,AC-0001-0202-03,carried,
spec-0001/AC-0001-0016,AC-0001-0202-05,carried,
spec-0001/AC-0001-0017,AC-0001-0202-06,carried,
spec-0001/AC-0001-0018,AC-0001-0004-03,carried,
spec-0001/AC-0001-0019,AC-0001-0004-04,carried,
spec-0001/BR-0001-0019,BR-0678,carried in part,bugfix half; the missing-test half is replaced by the change-request approval of a story-authoring stage
spec-0001/BR-0001-0020,assistant-routing.md#ownership-boundary,existing,no fixed skill list
spec-0001/BR-0001-0021,BR-0674,carried,
spec-0001/BR-0001-0023,BR-0675,carried,policy digests are qfai.config.yaml and .qfai/assistant/rule/**
spec-0001/BR-0001-0025,"BR-0668, BR-0669",carried,
spec-0001/BR-0001-0026,BR-0671,carried,
spec-0001/BR-0001-0027,BR-0670,carried,
spec-0001/BR-0001-0028,BR-0672,carried,
spec-0001/BR-0001-0029,BR-0673,carried,
spec-0001/BR-0001-0030,BR-0676,carried,
spec-0001/BR-0001-0031,BR-0677,carried,
spec-0001/EX-0001-0014,EX-0001-0002-02,existing,same meaning
spec-0001/EX-0001-0015,EX-0001-0002-12,carried in part,missing-test half dropped
spec-0001/EX-0001-0016,assistant-routing.md#ownership-boundary,existing,
spec-0001/EX-0001-0017,EX-0001-0003-02,carried,
spec-0001/EX-0001-0019,EX-0001-0004-01,existing,same meaning
spec-0001/EX-0001-0025,"EX-0001-0004-03, EX-0001-0004-04, EX-0001-0004-05",carried,
spec-0001/EX-0001-0026,"EX-0001-0202-01, EX-0001-0202-02, EX-0001-0202-03",carried,
spec-0001/EX-0001-0027,EX-0001-0202-04,carried,
spec-0001/EX-0001-0028,EX-0001-0202-07,carried,
spec-0001/EX-0001-0029,"EX-0001-0202-05, EX-0001-0202-06",carried,
spec-0001/EX-0001-0030,EX-0001-0202-08,carried,
spec-0001/EX-0001-0031,EX-0001-0202-09,carried,
spec-0001/EX-0001-0032,"EX-0001-0004-06, EX-0001-0004-07",carried,
spec-0004/US-0004-0040,dropped,dropped,the TRIAGE validator family is removed (DEC-0096); the check is the workflow core's at accept (BR-0663; BR-0664)
spec-0004/AC-0004-0042,dropped,dropped,no Approved By column (BR-0321)
spec-0004/AC-0004-0043,BR-0664,dropped,one approval set: the core's check
spec-0004/AC-0004-0044,dropped,dropped,plans are never installed
spec-0004/AC-0004-0045,BR-0664,dropped,one approval set: the core's check
spec-0004/AC-0004-0046,BR-0664,dropped,no QFAI-TRIAGE-011 and no Authorization-Ref column (BR-0017; BR-0321)
spec-0004/BR-0004-0036..0040,"BR-0663, BR-0664",dropped,the validator rules become the core's accept-time check
spec-0004/EX-0004-0045..0058,"BR-0663, BR-0664",dropped,validator examples; the core's checks carry the meaning; plan-install examples are obsolete
spec-0015/US-0015-0009,AC-0001-0175-03,carried,the run-binding sentence becomes a criterion
spec-0015/AC-0015-0015,AC-0001-0175-03,carried,primarySpecId becomes the business flow the stage works on
spec-0015/AC-0015-0023,AC-0001-0167-05,carried,package routing defaults
spec-0015/AC-0015-0024,AC-0001-0175-02,carried,
spec-0015/AC-0015-0025,AC-0001-0169-04,carried,
spec-0015/AC-0015-0026,AC-0001-0169-05,carried,
spec-0015/BR-0015-0010,BR-0681,carried,
