old_id,new_id,disposition,reason
US-0018-0001,US-0001-0192,carried,restated on the story tree
US-0018-0002,US-0001-0193,carried,restated on the story tree
US-0018-0003,US-0001-0194,carried,restated on the story tree
US-0018-0004,US-0001-0195,carried,restated on the story tree
US-0018-0005,US-0001-0196,carried,restated on the story tree
US-0018-0006,US-0001-0197,carried,restated on the story tree
US-0018-0007,US-0001-0198,carried,restated on the story tree
US-0018-0008,US-0001-0199,carried,restated on the story tree
US-0018-0009,US-0001-0200,carried,restated on the story tree
US-0018-0010,US-0001-0201,carried,restated on the story tree
AC-0018-0001,AC-0001-0192-01,carried,restated on the story tree
AC-0018-0002,AC-0001-0192-02,carried,restated on the story tree
AC-0018-0003,AC-0001-0192-03,carried,restated on the story tree
AC-0018-0004,AC-0001-0192-04,carried,restated on the story tree
AC-0018-0005,AC-0001-0192-05,carried,restated on the story tree
AC-0018-0006,AC-0001-0192-06,carried,restated on the story tree
AC-0018-0007,AC-0001-0192-07,carried,restated on the story tree
AC-0018-0008,AC-0001-0192-08,carried,restated on the story tree
AC-0018-0009,AC-0001-0192-09,carried,restated on the story tree
AC-0018-0010,AC-0001-0192-10,carried,restated on the story tree
AC-0018-0011,AC-0001-0192-11,carried,restated on the story tree
AC-0018-0012,AC-0001-0193-01,carried,restated on the story tree
AC-0018-0013,AC-0001-0193-02,carried,restated on the story tree
AC-0018-0014,AC-0001-0193-03,carried,restated on the story tree
AC-0018-0015,AC-0001-0193-04,carried,restated on the story tree
AC-0018-0016,AC-0001-0194-01,carried,restated on the story tree
AC-0018-0017,AC-0001-0194-02,carried,restated on the story tree
AC-0018-0018,AC-0001-0194-03,carried,restated on the story tree
AC-0018-0019,AC-0001-0195-01,carried,restated on the story tree
AC-0018-0020,AC-0001-0195-02,carried,restated on the story tree
AC-0018-0021,AC-0001-0195-03,carried,restated on the story tree
AC-0018-0022,AC-0001-0195-04,carried,restated on the story tree
AC-0018-0023,AC-0001-0195-05,carried,restated on the story tree
AC-0018-0024,AC-0001-0195-06,carried,restated on the story tree
AC-0018-0025,AC-0001-0195-07,carried,restated on the story tree
AC-0018-0026,AC-0001-0196-01,carried,restated on the story tree
AC-0018-0027,AC-0001-0196-02,carried,restated on the story tree
AC-0018-0028,AC-0001-0196-03,carried,restated on the story tree
AC-0018-0029,AC-0001-0196-04,carried,restated on the story tree
AC-0018-0030,AC-0001-0196-05,carried,restated on the story tree
AC-0018-0031,AC-0001-0196-06,carried,restated on the story tree
AC-0018-0032,AC-0001-0196-07,carried,restated on the story tree
AC-0018-0033,AC-0001-0197-01,carried,restated on the story tree
AC-0018-0034,AC-0001-0197-02,carried,restated on the story tree
AC-0018-0035,AC-0001-0198-01,carried,restated on the story tree
AC-0018-0036,AC-0001-0198-02,carried,restated on the story tree
AC-0018-0037,AC-0001-0199-01,carried,restated on the story tree
AC-0018-0038,AC-0001-0199-02,carried,restated on the story tree
AC-0018-0039,AC-0001-0199-03,carried,restated on the story tree
AC-0018-0040,AC-0001-0200-01,carried,restated on the story tree
AC-0018-0041,AC-0001-0200-02,carried,restated on the story tree
AC-0018-0042,AC-0001-0201-01,carried,restated on the story tree
AC-0018-0043,AC-0001-0201-02,carried,restated on the story tree
AC-0018-0044,AC-0001-0201-03,carried,restated on the story tree
AC-0018-0045,AC-0001-0201-04,carried,restated on the story tree
AC-0018-0046,AC-0001-0201-05,carried,restated on the story tree
AC-0018-0047,AC-0001-0192-12,carried,restated on the story tree
AC-0018-0048,AC-0001-0192-13,carried,restated on the story tree
AC-0018-0049,AC-0001-0195-08,carried,restated on the story tree
AC-0018-0050,AC-0001-0196-08,carried,restated on the story tree
AC-0018-0051,AC-0001-0192-14,carried,restated on the story tree
AC-0018-0052,AC-0001-0192-15,carried,restated on the story tree
BR-0018-0001,BR-0533,carried,restated with story-tree names
BR-0018-0002,BR-0534,carried,restated with story-tree names
BR-0018-0003,BR-0535,carried,restated with story-tree names
BR-0018-0004,BR-0536,carried,restated with story-tree names
BR-0018-0005,BR-0537,carried,restated with story-tree names
BR-0018-0006,BR-0538,carried,carried by meaning
BR-0018-0007,BR-0539,carried,carried by meaning
BR-0018-0008,BR-0540,carried,carried by meaning
BR-0018-0009,BR-0541,carried,carried by meaning
BR-0018-0010,BR-0542,carried,carried by meaning
BR-0018-0011,BR-0543,carried,carried by meaning
BR-0018-0012,BR-0544,carried,carried by meaning
BR-0018-0013,BR-0545,carried,restated with story-tree names
BR-0018-0014,BR-0546,carried,carried by meaning
BR-0018-0015,BR-0547,carried,carried by meaning
BR-0018-0016,BR-0548,carried,carried by meaning
BR-0018-0017,BR-0549,carried,carried by meaning
BR-0018-0018,BR-0550,carried,carried by meaning
BR-0018-0019,BR-0551,carried,carried by meaning
BR-0018-0020,BR-0552,carried,restated with story-tree names
BR-0018-0021,BR-0553,carried,carried by meaning
BR-0018-0022,BR-0554,carried,carried by meaning
BR-0018-0023,BR-0555,carried,carried by meaning
BR-0018-0024,BR-0556,carried,carried by meaning
BR-0018-0025,BR-0557,carried,carried by meaning
BR-0018-0026,BR-0558,carried,restated with story-tree names
BR-0018-0027,BR-0559,carried,carried by meaning
BR-0018-0028,BR-0560,carried,carried by meaning
BR-0018-0029,BR-0561,carried,carried by meaning
BR-0018-0030,BR-0562,carried,carried by meaning
BR-0018-0031,BR-0563,carried,restated with story-tree names
BR-0018-0032,BR-0564,carried,carried by meaning
BR-0018-0033,BR-0565,carried,carried by meaning
BR-0018-0034,BR-0566,carried,restated with story-tree names
BR-0018-0035,BR-0567,carried,carried by meaning
BR-0018-0036,BR-0568,carried,restated with story-tree names
BR-0018-0037,BR-0569,carried,restated with story-tree names
BR-0018-0038,BR-0570,carried,restated with story-tree names
BR-0018-0039,BR-0571,carried,carried by meaning
BR-0018-0040,BR-0572,carried,restated with story-tree names
BR-0018-0041,BR-0573,carried,restated with story-tree names
BR-0018-0042,BR-0574,carried,restated with story-tree names
BR-0018-0043,BR-0575,carried,carried by meaning
BR-0018-0044,BR-0576,carried,restated with story-tree names
BR-0018-0045,BR-0577,carried,carried by meaning
BR-0018-0046,BR-0578,carried,restated with story-tree names
BR-0018-0047,BR-0579,carried,restated with story-tree names
BR-0018-0048,BR-0580,carried,carried by meaning
BR-0018-0049,BR-0581,carried,restated with story-tree names
BR-0018-0050,BR-0582,carried,restated with story-tree names
BR-0018-0051,BR-0583,carried,carried by meaning
BR-0018-0052,BR-0584,carried,carried by meaning
BR-0018-0053,BR-0585,carried,carried by meaning
BR-0018-0054,BR-0586,carried,carried by meaning
BR-0018-0055,BR-0587,carried,carried by meaning
BR-0018-0056,BR-0588,carried,carried by meaning
BR-0018-0057,BR-0589,carried,carried by meaning
BR-0018-0058,BR-0590,carried,restated with story-tree names
BR-0018-0059,BR-0591,carried,carried by meaning
BR-0018-0060,BR-0592,carried,carried by meaning
BR-0018-0061,BR-0593,carried,carried by meaning
BR-0018-0062,BR-0594,carried,restated with story-tree names
BR-0018-0063,BR-0595,carried,carried by meaning
BR-0018-0064,BR-0596,carried,restated with story-tree names
BR-0018-0065,BR-0597,carried,carried by meaning
BR-0018-0066,BR-0598,carried,carried by meaning
BR-0018-0067,BR-0599,carried,carried by meaning
BR-0018-0068,BR-0600,carried,carried by meaning
BR-0018-0069,BR-0601,carried,carried by meaning
BR-0018-0070,BR-0602,carried,carried by meaning
