old_br_id,new_br_id,archive_path,archive_sha256,archive_line,source_section_equal,planned_contract_path,new_contract_path,new_ex_refs_from_old_ex,new_contract_line
BR-0003-0011,BR-0051,.qfai/evidence/migration-spec-to-story/retired/spec-0003/04_Business-Rules.md,7bdac9941db15faf362534dfd425aa2aa8154e0a562be2e722d9eb62a868d37d,23,removed,.qfai/spec/03_contract/cli/qfai-init.md,.qfai/spec/03_contract/cli/qfai-init.md,EX-0001-0027-01,| BR-0051 | `qfai init --force` prunes QFAI-generated command and prompt wrappers and non-symlink generated `qfai-*` skill wrapper directories. It does not delete unrelated adopter-owned content.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | EX-0001-0027-01                                   |
BR-0003-0017,BR-0057,.qfai/evidence/migration-spec-to-story/retired/spec-0003/04_Business-Rules.md,7bdac9941db15faf362534dfd425aa2aa8154e0a562be2e722d9eb62a868d37d,29,removed,.qfai/spec/03_contract/cli/qfai-init.md,.qfai/spec/03_contract/cli/qfai-init.md,EX-0001-0035-03,"| BR-0057 | `qfai init --upgrade-assistant-tree` is idempotent on a project already using `rule/`, `skill/`, `agent/` and `prompt/`: it leaves those files unchanged, exits 0 and reports preserved user edits rather than failing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | EX-0001-0035-03                                   |"
BR-0003-0020,BR-0059,.qfai/evidence/migration-spec-to-story/retired/spec-0003/04_Business-Rules.md,7bdac9941db15faf362534dfd425aa2aa8154e0a562be2e722d9eb62a868d37d,32,removed,.qfai/spec/03_contract/cli/qfai-init.md,.qfai/spec/03_contract/cli/qfai-init.md,EX-0001-0037-01;EX-0001-0037-02,"| BR-0059 | After the announced v1.10.0 sunset, an ordinary init keeps legacy `.qfai/assistant/steering/` files unchanged and reports `D-DEPRECATED-PATH` as an error on stderr. The finding names the sunset and `qfai init --upgrade-assistant-tree` without claiming read compatibility.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | EX-0001-0037-01, EX-0001-0037-02                  |"
BR-0003-0025,BR-0064,.qfai/evidence/migration-spec-to-story/retired/spec-0003/04_Business-Rules.md,7bdac9941db15faf362534dfd425aa2aa8154e0a562be2e722d9eb62a868d37d,37,removed,.qfai/spec/03_contract/cli/shipped-workflows.md,.qfai/spec/03_contract/cli/shipped-workflows.md,EX-0002-0002-04,| BR-0064 | Every pinned action has a readable version in its step `name:` without a leading `v`. No version-bearing pin trailer is placed in shipped comments; shipped text satisfies the unchanged version-leakage guard.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | EX-0002-0002-04                  |
BR-0004-0001,BR-0099,.qfai/evidence/migration-spec-to-story/retired/spec-0004/04_Business-Rules.md,757bf94eb01fd15e5c9d25a46b0f78fa429c7de7ac8a0b7628212f807877b079,3,removed,.qfai/spec/03_contract/cli/qfai-validate.md,.qfai/spec/03_contract/cli/qfai-validate.md,EX-0001-0039-01,"| BR-0099 | `qfai validate` is the machine gate for deterministic schema, evidence and canonical validator checks. It aggregates their findings in the validate result.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | EX-0001-0039-01                                                                                      |"
BR-0004-0002,BR-0100,.qfai/evidence/migration-spec-to-story/retired/spec-0004/04_Business-Rules.md,757bf94eb01fd15e5c9d25a46b0f78fa429c7de7ac8a0b7628212f807877b079,8,removed,.qfai/spec/03_contract/cli/qfai-validate.md,.qfai/spec/03_contract/cli/qfai-validate.md,EX-0001-0041-01,| BR-0100 | Canonical UIX validation checks prototyping evidence against every screen ID declared by its UI contract and reports missing screen evidence against the corresponding screen.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | EX-0001-0041-01                                                                                      |
BR-0004-0029,BR-0127,.qfai/evidence/migration-spec-to-story/retired/spec-0004/04_Business-Rules.md,757bf94eb01fd15e5c9d25a46b0f78fa429c7de7ac8a0b7628212f807877b079,174,removed,.qfai/spec/03_contract/cli/qfai-validate.md,.qfai/spec/03_contract/cli/qfai-prototyping.md,EX-0001-0049-03;EX-0001-0049-04,"| BR-0127 | `qfai prototyping certify` reads `validate-prototyping.json` for its profile gate; a newer default-profile `validate.json` pointer is not a prototyping pass. Certify does not silently rerun validate. At or after the announced 1.10.0 sunset, legacy `.qfai/output/validate.json` is not written and `D-DEPRECATED-PATH` is an error.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | EX-0001-0049-03, EX-0001-0049-04                                   |"
BR-0008-0003,BR-0212,.qfai/evidence/migration-spec-to-story/retired/spec-0008/04_Business-Rules.md,90beb6da59870388ea545b6f44c446aa4fde379f252b6bdc6b0566d731907dd0,19,removed,.qfai/spec/03_contract/cli/qfai-validate.md,.qfai/spec/03_contract/cli/delivery-workflow.md,EX-0001-0069-03,"| BR-0212 | Test volume counts and ratios guide planning only. ATDD completion requires test coverage for every in-scope BF and AC, regardless of volume signal.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | EX-0001-0069-03                  |"
BR-0008-0004,BR-0213,.qfai/evidence/migration-spec-to-story/retired/spec-0008/04_Business-Rules.md,90beb6da59870388ea545b6f44c446aa4fde379f252b6bdc6b0566d731907dd0,27,removed,.qfai/spec/03_contract/cli/assistant-routing.md,.qfai/spec/03_contract/cli/delivery-workflow.md,EX-0001-0073-03,"| BR-0213 | ATDD implementation and approval are separate: a non-edit Reviewer, distinct from the test implementer, returns PASS or REVISE and names a missing BF E2E test in a REVISE finding.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | EX-0001-0073-03                  |"
BR-0009-0002,BR-0225,.qfai/evidence/migration-spec-to-story/retired/spec-0009/04_Business-Rules.md,3c45150d2a7f47e16f500edcfb91df675abbace3bcd7f3e64f0e6f21fb748e55,10,removed,.qfai/spec/03_contract/cli/configuration.md,.qfai/spec/03_contract/cli/configuration.md,EX-0001-0078-04,| BR-0225 | `/qfai-configure` adds exclude globs only when an observed test path needs exclusion beyond the default exclusions; it does not add redundant exclude patterns.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | EX-0001-0078-04                  |
