step,mode,exit_code,operations_none,report
1,dry,0,true,step01-dry.md
1,real,0,true,step01-real.md
1,rerun,0,true,step01-rerun.md
2,dry,0,true,step02-dry.md
2,real,0,true,step02-real.md
2,rerun,0,true,step02-rerun.md
3,dry,0,true,step03-dry.md
3,real,0,true,step03-real.md
3,rerun,0,true,step03-rerun.md
4,dry,0,true,step04-dry.md
4,real,0,true,step04-real.md
4,rerun,0,true,step04-rerun.md
5,dry,3,true,step05-dry.md
5,real,3,true,step05-real.md
5,rerun,3,true,step05-rerun.md
6,dry,0,true,step06-dry.md
6,real,0,true,step06-real.md
6,rerun,0,true,step06-rerun.md
7,dry,0,true,step07-dry.md
7,real,0,true,step07-real.md
7,rerun,0,true,step07-rerun.md
8,dry,3,true,step08-dry.md
8,real,3,true,step08-real.md
8,rerun,3,true,step08-rerun.md
9,dry,0,true,step09-dry.md
9,real,0,true,step09-real.md
9,rerun,0,true,step09-rerun.md
10,dry,0,true,step10-dry.md
10,real,0,true,step10-real.md
10,rerun,0,true,step10-rerun.md
