report,expected_exit_code,basis
step01-dry.txt,0,complete-operations-only-report
step01-real.txt,0,complete-operations-only-report
step01-rerun.txt,0,complete-operations-only-report
step02-dry.txt,3,complete-report-human-items
step02-real.txt,3,complete-report-human-items
step02-rerun-after-repair.txt,0,complete-report-no-human-items
step02-rerun.txt,unknown,incomplete-or-unclassified
step03-dry.txt,0,complete-report-no-human-items
step03-real.txt,0,complete-report-no-human-items
step03-rerun.txt,0,complete-report-no-human-items
step04-dry-after-tc-ex-ref.txt,3,complete-report-human-items
step04-dry-current.txt,3,complete-report-human-items
step04-dry.txt,3,complete-report-human-items
step04-real.txt,3,complete-report-human-items
step04-rerun.txt,3,complete-report-human-items
step05-dry.txt,3,complete-report-human-items
step05-real.txt,3,complete-report-human-items
step05-rerun.txt,3,complete-report-human-items
step06-dry.txt,0,complete-report-no-human-items
step06-real.txt,0,complete-report-no-human-items
step06-rerun.txt,0,complete-report-no-human-items
step07-dry.txt,3,complete-report-human-items
step07-real.txt,3,complete-report-human-items
step07-rerun.txt,3,complete-report-human-items
step08-dry-after-allowlist.txt,3,complete-report-human-items
step08-dry.txt,2,prewrite-boundary-error
step08-real.txt,3,complete-report-human-items
step08-rerun.txt,3,complete-report-human-items
step09-dry-after-symlink-fix.txt,0,complete-report-no-human-items
step09-dry.txt,3,complete-report-human-items
step09-real.txt,0,complete-report-no-human-items
step09-rerun.txt,0,complete-report-no-human-items
step10-dry.txt,0,complete-report-no-human-items
step10-real.txt,0,complete-report-no-human-items
step10-rerun.txt,0,complete-report-no-human-items
