id,source,start,end,kind,archive,sha256,authority
"AC-0001-0001",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","10","18","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0001-occurrence-1.md","5097841cc764837685fd9813215c535db0313659a4133fe818b3d2fbfcff707a","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0002",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","18","26","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0002-occurrence-1.md","6c399044b545d2085697de22e197e3958422ffae7bf894dbe08e6b3ace8d8db8","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0003",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","26","34","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0003-occurrence-1.md","333ef9faf2bc972789a357e78a6fd7f3d919ed856404ac142ae3ed048a457ae8","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0004",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","34","42","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0004-occurrence-1.md","7bdfdd5225b221d48a69ab18956784fc461f3b8c918577da314d9f92895aed80","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0006",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","51","62","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0006-occurrence-1.md","fdecd0cfd1d248e49f22dc313f75b07464bec46f67202eb449b95a778104cb40","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0007",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","62","70","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0007-occurrence-1.md","e2cc071ba31bd0ea13c7403eeb3dc7aa24aafbf69dbd91f43c46979d2c10c65a","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0008",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","70","78","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0008-occurrence-1.md","e13944bb1391a7266b90fdeabb028774ea2ed1ee05c343ae2e2ce21bae1ac41c","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0010",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","88","96","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0010-occurrence-1.md","9bb3bd393ac6622542866d87752fe26bbf5f7f86494242e10e4fe31d99c61e04","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0001",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","293","294","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0001-catalog.md","68f21bae6d483fcdfe49e3cc34f1e0426290cff07e01d73f92d5b05d9ee6c32c","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0002",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","294","295","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0002-catalog.md","168e5854ed29a1a2c63fcbde80ece7531e0ecf75d6cb202d1255b8c12d726ca8","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0003",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","295","296","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0003-catalog.md","fc967bac4dc9105a4d8e299c81568e69be4760abae3e90490458be60593aa28a","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0004",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","296","297","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0004-catalog.md","d49b8284b70ee1382fcd2b9c318980fe1042628b051f92fae805e473b48fc2b9","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0006",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","298","299","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0006-catalog.md","3d3c3a42109ed2515dd1a06cc0702acc0d4f4c89170a481ae36947924c247383","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0007",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","299","300","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0007-catalog.md","f2af9708b52af36beef4ad634ab06d7b452903d985e8d182c392ab697c8fd336","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0008",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","300","301","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0008-catalog.md","ea7bbbea5b22c5d3a6eee5ff5fcb1e5009f1f500bf47d0e39b5e06f683270da3","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0001-0010",".qfai/specs/spec-0001/03_Acceptance-Criteria.md","302","303","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0001/removed-criteria/AC-0001-0010-catalog.md","911cdbca6a7d0a910f0c07a77123526b364e09cfac9247165f8b1764d3288965","spec-0001/09_delta.md approved P7 REMOVE; AC-0010 2026-09-24 fixed-inventory REMOVE"
"AC-0003-0021",".qfai/specs/spec-0003/03_Acceptance-Criteria.md","182","183","catalog",".qfai/evidence/migration-spec-to-story/retired/spec-0003/removed-criteria/AC-0003-0021-catalog.md","f6daecbad5bb03c3f1fc13d2f45d6dda3e910f1a86a816773d87c33deb99013a","spec-0003/09_delta.md migration memo and guard exception REMOVE"
"AC-0003-0021",".qfai/specs/spec-0003/03_Acceptance-Criteria.md","256","263","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0003/removed-criteria/AC-0003-0021-occurrence-1.md","cf82a4d0dcd608f6070917f0fa2b99562babbafbb9a496212442e3b066b4c0e6","spec-0003/09_delta.md migration memo and guard exception REMOVE"
"AC-0011-0002",".qfai/specs/spec-0011/03_Acceptance-Criteria.md","14","18","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0011/removed-criteria/AC-0011-0002-occurrence-1.md","1bee0999dea1fc2d5185ea0487ede1b50583db9ac31f301d22e7f836631ec4cb","spec-0011/09_delta.md approved old ledger-transition REMOVE"
"AC-0011-0004",".qfai/specs/spec-0011/03_Acceptance-Criteria.md","27","31","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0011/removed-criteria/AC-0011-0004-occurrence-1.md","a8bd63f41a312e5d3075dc90df6ee266580a3a1cc4868213283552f3c35459a7","spec-0011/09_delta.md approved old ledger-transition REMOVE"
"AC-0012-0003",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","24","29","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0003-occurrence-1.md","e62de8aef43f3c23b9aae35014686d7449330002f837450447292a6515db7d59","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0008",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","68","73","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0008-occurrence-1.md","8c5e1aca5a791c395718b79bc9fb956e291f23e8d3955db48d82be8e1ca32492","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0010",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","85","90","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0010-occurrence-1.md","49acedc42e5530959c2bc03f6da4ea5b72c24e36c84940bafa9126f70d46f2d3","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0020",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","90","97","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0020-occurrence-1.md","8e87b1686c23fcae9ec23df491886a2cb5759848cb6b74256f1d75f22ec174d4","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0021",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","97","104","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0021-occurrence-1.md","bf18cb6632da8bc6ee9021c4ce271e56050063a00035ffa3efb3c6137f2f096c","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0022",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","104","111","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0022-occurrence-1.md","12e86731972f40c29542579559b2cb429eb71384b53dc759d1f12572b993751d","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0028",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","156","163","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0028-occurrence-1.md","c88342247fb9b6482a3b07c724eff9295728c6b3fdc5d8dcfb8caabdec476ab3","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0029",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","163","170","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0029-occurrence-1.md","95dc674bc60f82c109e455db0a6bd85f497df7fcd3b9a9af128ac5c438cee83c","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0030",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","170","177","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0030-occurrence-1.md","ee1cf1b822bf70dd1b875d390e0a11c97d9b27a48e9706a6a9a0634df3765be4","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0031",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","177","183","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0031-occurrence-1.md","08205369a03c7d695434b74e31452ae316b6756564f10c6c15d4790489b07ca9","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0012-0033",".qfai/specs/spec-0012/03_Acceptance-Criteria.md","192","199","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0012/removed-criteria/AC-0012-0033-occurrence-1.md","7673bdf299df6b15111266fdfcd59c03291407664d520a3293e4e033ed57f74c","spec-0012/09_delta.md OP-PURGE-070..076 and P7 criterion review; DR-0012-0033"
"AC-0013-0001",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","3","7","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0001-occurrence-1.md","76d4c3d5ae1f87daab2c2a71fb89817ef8428bb345dab5c5ca1d651381ce51f8","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0002",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","7","11","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0002-occurrence-1.md","89098fe0f70bfa9895523924f2870006b8f2d41fa4f05e9ddbe11bc54616f286","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0004",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","27","31","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0004-occurrence-1.md","9bae5b79eae84e354838998c1290bb3133fb6ecc287fde87de6da1875a234476","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0005",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","31","35","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0005-occurrence-1.md","eb2971d81c3c41273ec67a5ac6c86d157f3a1b7213393cf9ef642d1e3b55df58","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0006",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","35","39","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0006-occurrence-1.md","96ffd37c9310c999a843c93cc21d1c139f8cb69e597f65ba761f0bb0df36064b","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0008",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","48","52","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0008-occurrence-1.md","5bbf19298c246ef491f6c44d6753b9b8f2891ac4c6873a7256f629ffedce1dcf","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0009",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","52","56","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0009-occurrence-1.md","a20d107041b7aaf785a6d66768c33228e24f64ba03f9610469f1dcd7694db737","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0010",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","56","60","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0010-occurrence-1.md","321d3dfda0d2ce50b2c0d122c3ed1752cc89b9a0d535e49f3d01e54c5e1ffa69","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0013",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","78","82","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0013-occurrence-1.md","51bbfe654592a4320beeb8794911b8c588056d4e14419612e935257b4913e592","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0012",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","82","86","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0012-occurrence-1.md","2cd0d9e17f40b392536efcd8aa8241bfc35315f09ac5d219c93f1a9d0739ad3a","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0022",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","167","174","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0022-occurrence-1.md","d360c1529e6d1939ef1194f1b8af00c8fe35e37869be18985e62730926fdf36f","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0023",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","174","181","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0023-occurrence-1.md","b9d629c857710b8132ccbc1b9edf47d3caa46c5794af41f012fb49c3a38c69a9","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0026",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","203","207","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0026-occurrence-1.md","78db55250046a85c827d492bc93f9640cc1d84128d6e609833de30107f1145ea","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0013-0027",".qfai/specs/spec-0013/03_Acceptance-Criteria.md","207","211","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0013/removed-criteria/AC-0013-0027-occurrence-1.md","bfab48e3c2d0b80d2cf88b028f6197e0296a69a4f2078465187cfeb0c545b39a","spec-0013/09_delta.md approved P7 REMOVE and P7 migration review"
"AC-0011-0009",".qfai/specs/spec-0011/03_Acceptance-Criteria.md","35","39","criterion",".qfai/evidence/migration-spec-to-story/retired/spec-0011/removed-criteria/AC-0011-0009-occurrence-1.md","919e609e5077e9a9a973090c0a97cd4e8ac13911ce393d01d8599bee1a712f49","spec-0011/09_delta.md P7 REMOVE; DR-0011-0002"
