old_ex_id,old_pack,step4_real_report_line,archive_source,archive_sha256,archive_line,old_br_refs,old_tc_refs,old_ac_refs,current_disposition,semantic_class,semantic_target_old_ac,semantic_target_new_ac,semantic_basis,decision_authority,required_action,step7_active_br_report_lines,new_ex_ids,new_ex_paths,new_contract_rule_refs,source_resolution,reviewer_evidence
EX-0001-0001,spec-0001,869,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,12,BR-0001-0001,TC-0001-0001,AC-0001-0001,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0001,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0002,spec-0001,870,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,13,BR-0001-0002,TC-0001-0002,AC-0001-0002,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0002,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0003,spec-0001,871,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,14,BR-0001-0003,TC-0001-0024,AC-0001-0001,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0003,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0004,spec-0001,872,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,15,BR-0001-0004,TC-0001-0003,AC-0001-0003,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0004,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0005,spec-0001,873,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,16,BR-0001-0005,TC-0001-0004,AC-0001-0003,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0005,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0006,spec-0001,874,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,17,BR-0001-0006,TC-0001-0005,AC-0001-0004,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0006,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0008,spec-0001,875,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,19,BR-0001-0010,TC-0001-0007,AC-0001-0006,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0010,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0009,spec-0001,876,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,20,BR-0001-0011,TC-0001-0008,AC-0001-0006,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0011,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0010,spec-0001,877,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,21,BR-0001-0012,TC-0001-0009,AC-0001-0006,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0012,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
EX-0001-0011,spec-0001,878,.qfai/evidence/migration-spec-to-story/retired/spec-0001/05_Examples.md,f2b0c3b17ed6f88c0443f9f8e86c20c050e4f3ceeba7d460fcd8ce6fb7812036,22,BR-0001-0014,TC-0001-0010,AC-0001-0007,retired_or_superseded,,,,,retired-rule-disposition.md#BR-0001-0014,Match approved retirement and archive; do not migrate old EX,,,,,retired_approved_archive_verified;source_pending_removal,archive SHA256 and source line match; approved rule disposition or DEC-0266 verified
