br_id,old_ex_refs,step4_mapped_ex_refs,at_risk
BR-0001-0007,EX-0001-0007,EX-0001-0007,no
BR-0001-0008,EX-0001-0021,EX-0001-0021,no
BR-0001-0009,"EX-0001-0022,EX-0001-0025","EX-0001-0022,EX-0001-0025",no
BR-0001-0017,"EX-0001-0013,EX-0001-0026","EX-0001-0013,EX-0001-0026",no
BR-0001-0018,"EX-0001-0014,EX-0001-0027,EX-0001-0028,EX-0001-0029","EX-0001-0014,EX-0001-0027,EX-0001-0028,EX-0001-0029",no
BR-0001-0019,"EX-0001-0015,EX-0001-0030,EX-0001-0031,EX-0001-0095,EX-0001-0096","EX-0001-0015,EX-0001-0030,EX-0001-0031,EX-0001-0095,EX-0001-0096",no
BR-0001-0021,EX-0001-0017,EX-0001-0017,no
BR-0001-0023,EX-0001-0019,EX-0001-0019,no
BR-0001-0024,EX-0001-0020,EX-0001-0020,no
BR-0001-0025,"EX-0001-0032,EX-0001-0033","EX-0001-0032,EX-0001-0033",no
BR-0001-0026,EX-0001-0034,EX-0001-0034,no
BR-0001-0027,"EX-0001-0035,EX-0001-0036,EX-0001-0037,EX-0001-0038","EX-0001-0035,EX-0001-0036,EX-0001-0037,EX-0001-0038",no
BR-0001-0028,EX-0001-0039,EX-0001-0039,no
BR-0001-0029,EX-0001-0040,EX-0001-0040,no
BR-0001-0030,"EX-0001-0041,EX-0001-0042","EX-0001-0041,EX-0001-0042",no
BR-0001-0031,EX-0001-0043,EX-0001-0043,no
BR-0001-0032,"EX-0001-0044,EX-0001-0045","EX-0001-0044,EX-0001-0045",no
BR-0001-0033,"EX-0001-0046,EX-0001-0047,EX-0001-0048","EX-0001-0046,EX-0001-0047,EX-0001-0048",no
BR-0001-0034,"EX-0001-0049,EX-0001-0050,EX-0001-0051","EX-0001-0049,EX-0001-0050,EX-0001-0051",no
BR-0001-0035,"EX-0001-0052,EX-0001-0053","EX-0001-0052,EX-0001-0053",no
BR-0001-0036,"EX-0001-0054,EX-0001-0055,EX-0001-0056","EX-0001-0054,EX-0001-0055,EX-0001-0056",no
BR-0001-0037,"EX-0001-0057,EX-0001-0058,EX-0001-0059","EX-0001-0057,EX-0001-0058,EX-0001-0059",no
BR-0001-0038,"EX-0001-0060,EX-0001-0097","EX-0001-0060,EX-0001-0097",no
BR-0001-0039,EX-0001-0061,EX-0001-0061,no
BR-0001-0040,"EX-0001-0062,EX-0001-0063,EX-0001-0064,EX-0001-0065,EX-0001-0066","EX-0001-0062,EX-0001-0063,EX-0001-0064,EX-0001-0065,EX-0001-0066",no
BR-0001-0041,"EX-0001-0067,EX-0001-0068","EX-0001-0067,EX-0001-0068",no
BR-0001-0042,"EX-0001-0069,EX-0001-0070,EX-0001-0071,EX-0001-0072","EX-0001-0069,EX-0001-0070,EX-0001-0071,EX-0001-0072",no
