tc_id,annotation_count,locations
TC-0001-0001,7,packages/qfai/tests/core/atddCodeTraceability.test.ts:90;packages/qfai/tests/fixtures/bf0004MigrationCutover/order.integration.test.ts:3;packages/qfai/tests/fixtures/migration-spec-to-story/old-layout/tests/e2e/order.test.ts:2;packages/qfai/tests/integration/specPackSpec0001.test.ts:11;packages/qfai/tests/unit/migration/specToStory/harness.test.ts:251;packages/qfai/tests/unit/migration/specToStory/harness.test.ts:261;packages/qfai/tests/unit/migration/specToStory/steps05to08.test.ts:331
TC-0001-0002,2,packages/qfai/tests/fixtures/bf0004MigrationCutover/order.integration.test.ts:4;packages/qfai/tests/integration/specPackSpec0001.test.ts:12
TC-0001-0003,3,packages/qfai/tests/fixtures/bf0004MigrationCutover/order.integration.test.ts:5;packages/qfai/tests/fixtures/migration-spec-to-story/old-layout/tests/integration/order.test.ts:2;packages/qfai/tests/integration/specPackSpec0001.test.ts:13
TC-0001-0004,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:14
TC-0001-0005,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:15
TC-0001-0007,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:17
TC-0001-0008,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:18
TC-0001-0009,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:19
TC-0001-0010,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:20
TC-0001-0011,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:21
TC-0001-0012,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:22
TC-0001-0016,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:26
TC-0001-0018,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:28
TC-0001-0023,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:33
TC-0001-0024,1,packages/qfai/tests/integration/specPackSpec0001.test.ts:34
TC-0001-9999,2,packages/qfai/tests/unit/migration/specToStory/steps05to08.test.ts:336;packages/qfai/tests/unit/migration/specToStory/steps05to08.test.ts:348
TC-0003-0007,1,packages/qfai/tests/integration/initSpec0003.test.ts:8
TC-0003-0008,1,packages/qfai/tests/integration/initSpec0003.test.ts:9
TC-0003-0023,1,packages/qfai/tests/integration/initSpec0003.test.ts:22
TC-0003-0026,1,packages/qfai/tests/integration/initSpec0003.test.ts:24
TC-0003-0031,1,packages/qfai/tests/integration/shippedWorkflowPins.test.ts:131
TC-0004-0002,2,packages/qfai/tests/integration/completionContract.test.ts:211;packages/qfai/tests/integration/validatorConvergenceIntegration.test.ts:23
TC-0004-0065,1,packages/qfai/tests/integration/spec0004ProfileSuffixedValidate.test.ts:18
TC-0004-0066,1,packages/qfai/tests/integration/spec0004ProfileSuffixedValidate.test.ts:19
TC-0012-0286,1,packages/qfai/tests/validators/prototyping/delegationMap.test.ts:44
TC-0012-0293,1,packages/qfai/tests/validators/prototyping/delegationMap.test.ts:162
TC-0012-0294,1,packages/qfai/tests/skill/prototypingSkill.test.ts:198
TC-0012-0319,1,packages/qfai/tests/core/prototyping/iteration.test.ts:37
TC-0012-0320,1,packages/qfai/tests/core/prototyping/iteration.test.ts:50
TC-0012-0322,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:185
TC-0012-0323,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:217
TC-0012-0324,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:226
TC-0012-0325,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:332
TC-0012-0327,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:1399
TC-0012-0328,1,packages/qfai/tests/core/prototyping/designMdViolations.test.ts:1134
TC-0012-0329,1,packages/qfai/tests/core/prototyping/iteration.test.ts:60
TC-0012-0334,1,packages/qfai/tests/core/prototyping/certificate.test.ts:123
TC-0012-0336,1,packages/qfai/tests/skill/prototypingSkill.test.ts:206
TC-0012-0341,2,packages/qfai/tests/core/prototyping/iteration.test.ts:319;packages/qfai/tests/core/prototyping/iteration.test.ts:326
TC-0012-0352,1,packages/qfai/tests/cli/commands/prototypingIterate.test.ts:350
